Domain Code;Domain;Area Code (M49);Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
OA;Annual population;76;Brazil;561;Urban population;3010;Population - Est. & Proj.;2023;2023;1000 No;191.322.786;X;Figure from international organizations;
OA;Annual population;108;Burundi;561;Urban population;3010;Population - Est. & Proj.;2023;2023;1000 No;1.929.218;X;Figure from international organizations;
